,Major,Degree_type,Early Career Pay,Mid Career Pay,% High Meaning,Field Type
0,Petroleum Engineering,Bachelors,93200.0,187300.0,0.67,STEM
1,Operations Research & Industrial Engineering,Bachelors,84800.0,170400.0,0.28,STEM
2,Electrical Engineering & Computer Science (EECS),Bachelors,108500.0,159300.0,0.46,STEM
3,Interaction Design,Bachelors,68300.0,155800.0,0.55,OTHER FIELDS
4,Public Accounting,Bachelors,59800.0,147700.0,0.47,BUSINESS
5,Operations Research,Bachelors,83500.0,147400.0,0.54,OTHER FIELDS
6,Applied Economics and Management,Bachelors,66100.0,146400.0,0.67,OTHER FIELDS
7,Business Computing (BC),Bachelors,73000.0,143600.0,0.0,BUSINESS
8,Actuarial Mathematics,Bachelors,64300.0,143400.0,0.51,STEM
9,Electrical Power Engineering,Bachelors,76100.0,142600.0,0.68,STEM
10,Information & Computer Science,Bachelors,58600.0,140900.0,0.62,STEM
11,Aeronautics & Astronautics,Bachelors,77600.0,139600.0,0.56,OTHER FIELDS
12,Systems Engineering,Bachelors,77700.0,139200.0,0.53,STEM
13,Econometrics,Bachelors,64200.0,139000.0,0.35,OTHER FIELDS
14,Pharmacy,Bachelors,68600.0,138700.0,0.78,OTHER FIELDS
15,Aerospace Studies,Bachelors,55800.0,136600.0,0.0,OTHER FIELDS
16,Building Science,Bachelors,53800.0,135900.0,0.53,OTHER FIELDS
17,Chemical Engineering,Bachelors,76900.0,135900.0,0.55,STEM
18,Cognitive Science,Bachelors,68700.0,135200.0,0.42,OTHER FIELDS
19,Actuarial Science,Bachelors,67700.0,134400.0,0.43,OTHER FIELDS
20,Political Economy,Bachelors,65100.0,133500.0,0.29,OTHER FIELDS
21,Computer Systems Engineering,Bachelors,79000.0,133200.0,0.51,STEM
22,Electrical & Computer Engineering (ECE),Bachelors,78100.0,131600.0,0.49,STEM
23,Computer Science (CS) & Engineering,Bachelors,79400.0,131300.0,0.44,STEM
24,Marine Engineering,Bachelors,79900.0,131300.0,0.6,STEM
25,Aeronautical Engineering,Bachelors,74700.0,131100.0,0.66,STEM
26,Computer Engineering (CE),Bachelors,79000.0,131000.0,0.46,STEM
27,Naval Architecture & Marine Engineering,Bachelors,74400.0,130700.0,0.49,STEM
28,Entrepreneurship & Marketing,Bachelors,51400.0,129800.0,0.45,OTHER FIELDS
29,Corporate Accounting & Finance,Bachelors,65200.0,129700.0,0.55,BUSINESS
30,Mechatronics,Bachelors,72800.0,129600.0,0.48,OTHER FIELDS
31,Nuclear Engineering,Bachelors,76400.0,129400.0,0.62,STEM
32,Electrical Engineering (EE),Bachelors,75600.0,127700.0,0.54,STEM
33,Foreign Affairs,Bachelors,54800.0,127700.0,0.36,OTHER FIELDS
34,Marine Transportation Management,Bachelors,71100.0,127500.0,0.0,OTHER FIELDS
35,Mechanical & Aeronautical Engineering,Bachelors,70900.0,126900.0,0.6,STEM
36,Welding Engineering,Bachelors,81000.0,126600.0,0.56,STEM
37,Instrumentation & Control Engineering,Bachelors,73100.0,126400.0,0.0,STEM
38,Computational & Applied Mathematics,Bachelors,75500.0,126000.0,0.45,STEM
39,Electrical & Electronics Engineering (EEE),Bachelors,74700.0,125800.0,0.56,STEM
40,Aerospace Engineering,Bachelors,74300.0,125700.0,0.55,STEM
41,Astronomy,Bachelors,66600.0,125400.0,0.47,OTHER FIELDS
42,Optical Science & Engineering,Bachelors,71000.0,125400.0,0.0,STEM
43,Quantitative Business Analysis,Bachelors,74000.0,125400.0,0.37,BUSINESS
44,Computer Science (CS) & Mathematics,Bachelors,70500.0,125100.0,0.43,STEM
45,Industrial & Systems Engineering,Bachelors,73100.0,124800.0,0.48,STEM
46,Economics and Mathematics,Bachelors,68200.0,124100.0,0.35,STEM
47,Biomedical Engineering (BME),Bachelors,71300.0,123600.0,0.72,STEM
48,Managerial Economics,Bachelors,65200.0,123600.0,0.41,OTHER FIELDS
49,Computer Science (CS),Bachelors,75100.0,123400.0,0.42,STEM
50,Physics & Astronomy,Bachelors,56500.0,123400.0,0.36,OTHER FIELDS
51,Petroleum Land Management,Bachelors,59300.0,123100.0,0.0,OTHER FIELDS
52,Bioscience,Bachelors,49200.0,123100.0,0.0,OTHER FIELDS
53,Electronics & Communications Engineering,Bachelors,67400.0,122900.0,0.51,STEM
54,Control Engineering,Bachelors,69700.0,122800.0,0.61,STEM
55,Pharmacology,Bachelors,57700.0,122700.0,0.0,OTHER FIELDS
56,Business Analysis,Bachelors,63200.0,122300.0,0.46,BUSINESS
57,Aeronautical Science & Engineering,Bachelors,56000.0,122200.0,0.5,STEM
58,Metallurgical Engineering,Bachelors,81800.0,122200.0,0.61,STEM
59,Engineering Science,Bachelors,67900.0,122100.0,0.45,STEM
60,Applied Mathematics,Bachelors,68300.0,122000.0,0.4,STEM
61,Chemical & Biomolecular Engineering,Bachelors,76800.0,121900.0,0.48,STEM
62,Materials Science,Bachelors,67100.0,121800.0,0.0,OTHER FIELDS
63,Engineering,Bachelors,69900.0,121700.0,0.59,STEM
64,Ocean Engineering (OE),Bachelors,69400.0,121400.0,0.51,STEM
65,Bioengineering (BioE),Bachelors,70900.0,121300.0,0.67,STEM
66,Aeronautical/Aerospace Engineering Technology,Bachelors,76900.0,121200.0,0.53,STEM
67,Integrated Science & Technology,Bachelors,65200.0,121100.0,0.56,OTHER FIELDS
68,Operations Management & Information Systems,Bachelors,66100.0,120900.0,0.38,OTHER FIELDS
69,Software Engineering,Bachelors,75000.0,120000.0,0.43,STEM
70,Physics,Bachelors,65900.0,119700.0,0.48,OTHER FIELDS
71,Quantitative Economics,Bachelors,65000.0,119600.0,0.43,OTHER FIELDS
72,Computer & Information Science,Bachelors,63600.0,119500.0,0.55,OTHER FIELDS
73,Geophysics,Bachelors,58000.0,119000.0,0.47,OTHER FIELDS
74,Accounting & Economics,Bachelors,65900.0,118900.0,0.44,BUSINESS
75,Physician Assistant Studies,Bachelors,95900.0,118500.0,0.84,OTHER FIELDS
76,Mining Engineering,Bachelors,78800.0,118300.0,0.64,STEM
77,Construction Engineering Management,Bachelors,68800.0,118200.0,0.57,STEM
78,Mechanical Engineering (ME),Bachelors,71000.0,117600.0,0.5,STEM
79,Materials Science & Engineering,Bachelors,72700.0,117500.0,0.47,STEM
80,Engineering Mechanics,Bachelors,75500.0,117400.0,0.0,STEM
81,Industrial Engineering (IE),Bachelors,71900.0,117400.0,0.44,STEM
82,International Business & Finance,Bachelors,61400.0,117400.0,0.31,BUSINESS
83,Accounting & Computer Systems,Bachelors,63000.0,117300.0,0.37,BUSINESS
84,Business & Information Technology (IT),Bachelors,60100.0,116900.0,0.44,BUSINESS
85,Applied Physics,Bachelors,67300.0,116500.0,0.52,OTHER FIELDS
86,International Economics,Bachelors,58700.0,116300.0,0.48,OTHER FIELDS
87,Business & Economics,Bachelors,59600.0,116200.0,0.46,BUSINESS
88,Ceramic Engineering,Bachelors,69200.0,115700.0,0.0,STEM
89,Economics,Bachelors,62000.0,115700.0,0.41,OTHER FIELDS
90,Pharmaceutical Sciences (PS),Bachelors,52800.0,115700.0,0.69,OTHER FIELDS
91,Telecommunications Engineering,Bachelors,66400.0,115400.0,0.47,STEM
92,Information & Decision Sciences,Bachelors,65200.0,115200.0,0.33,OTHER FIELDS
93,Materials Engineering,Bachelors,72300.0,115200.0,0.58,STEM
94,Paper Science,Bachelors,77000.0,115200.0,0.39,OTHER FIELDS
95,Asian Studies,Bachelors,47700.0,115100.0,0.41,OTHER FIELDS
96,Structural Engineering (SE),Bachelors,67800.0,115100.0,0.66,STEM
97,Industrial Distribution,Bachelors,63600.0,115000.0,0.48,OTHER FIELDS
98,Management Information Systems (MIS),Bachelors,65000.0,114100.0,0.42,OTHER FIELDS
99,Electronics Engineering,Bachelors,69600.0,113900.0,0.66,STEM
100,Finance & Economics,Bachelors,62600.0,113900.0,0.42,OTHER FIELDS
101,Medical Science,Bachelors,52000.0,113800.0,0.0,OTHER FIELDS
102,Japanese Studies,Bachelors,51500.0,113800.0,0.21,OTHER FIELDS
103,Automotive Engineering,Bachelors,67300.0,113800.0,0.48,STEM
104,Information Management,Bachelors,64300.0,112800.0,0.38,OTHER FIELDS
105,Management Science,Bachelors,64600.0,112700.0,0.43,OTHER FIELDS
106,Mechanical,Bachelors,70200.0,112700.0,0.54,OTHER FIELDS
107,Construction Engineering,Bachelors,67300.0,112500.0,0.59,STEM
108,Finance & Investments,Bachelors,64100.0,112400.0,0.44,OTHER FIELDS
109,Mathematics & Statistics,Bachelors,63100.0,112400.0,0.43,STEM
110,Information Systems Management,Bachelors,59200.0,112300.0,0.49,OTHER FIELDS
111,Construction Project Management,Bachelors,61100.0,112200.0,0.58,OTHER FIELDS
112,Engineering Management,Bachelors,69000.0,112200.0,0.57,STEM
113,Packaging Science,Bachelors,70000.0,112200.0,0.35,OTHER FIELDS
114,Industrial Engineering & Management,Bachelors,68300.0,112000.0,0.55,STEM
115,Engineering Physics,Bachelors,70500.0,111800.0,0.5,STEM
116,Energy Management,Bachelors,72300.0,111700.0,0.71,OTHER FIELDS
117,Aeronautical Science,Bachelors,57700.0,111600.0,0.57,OTHER FIELDS
118,Government,Bachelors,55100.0,111200.0,0.47,OTHER FIELDS
119,Software Applications & Programming,Bachelors,59300.0,110800.0,0.45,OTHER FIELDS
120,Astrophysics,Bachelors,69300.0,110700.0,0.64,OTHER FIELDS
121,Bioenvironmental Science,Bachelors,47700.0,110500.0,0.0,OTHER FIELDS
122,Japanese Language,Bachelors,53300.0,110300.0,0.42,OTHER FIELDS
123,Business Economics,Bachelors,58400.0,110200.0,0.43,BUSINESS
124,Finance & Real Estate,Bachelors,63000.0,110200.0,0.44,OTHER FIELDS
125,Manufacturing Engineering,Bachelors,69300.0,110000.0,0.47,STEM
126,Atmospheric Science,Bachelors,48700.0,109900.0,0.55,OTHER FIELDS
127,Cybersecurity,Bachelors,65600.0,109800.0,0.55,OTHER FIELDS
128,Information Security & Assurance,Bachelors,61400.0,109300.0,0.47,OTHER FIELDS
129,Medicine,Bachelors,60600.0,109200.0,0.92,OTHER FIELDS
130,Civil Engineering (CE),Bachelors,65000.0,109000.0,0.65,STEM
131,Environmental Health & Safety Management,Bachelors,61100.0,108800.0,0.61,OTHER FIELDS
132,Mathematics,Bachelors,63500.0,108700.0,0.45,STEM
133,Applied Economics,Bachelors,61400.0,108600.0,0.38,OTHER FIELDS
134,Construction Science,Bachelors,67400.0,108500.0,0.63,OTHER FIELDS
135,Political Communication,Bachelors,48800.0,108500.0,0.55,OTHER FIELDS
136,Marketing & International Business,Bachelors,52500.0,108400.0,0.34,BUSINESS
137,Software Development,Bachelors,65500.0,108400.0,0.45,OTHER FIELDS
138,Biochemistry & Molecular Biology,Bachelors,53900.0,108100.0,0.71,OTHER FIELDS
139,Computing,Bachelors,63500.0,108000.0,0.53,OTHER FIELDS
140,Construction Management,Bachelors,63200.0,108000.0,0.58,OTHER FIELDS
141,Accounting & Taxation,Bachelors,55600.0,107800.0,0.41,BUSINESS
142,Building Construction (BC),Bachelors,67200.0,107800.0,0.52,OTHER FIELDS
143,International & Comparative Politics,Bachelors,45700.0,107800.0,0.53,OTHER FIELDS
144,Civil & Environmental Engineering,Bachelors,65300.0,107500.0,0.67,STEM
145,Business Information Systems,Bachelors,65000.0,107400.0,0.43,BUSINESS
146,Financial Economics,Bachelors,63300.0,107200.0,0.41,OTHER FIELDS
147,Sales & Business Marketing,Bachelors,55900.0,107200.0,0.51,BUSINESS
148,Plastics Engineering,Bachelors,68400.0,107100.0,0.58,STEM
149,Information Technology Management,Bachelors,63400.0,107000.0,0.48,OTHER FIELDS
150,Polymer Science & Engineering,Bachelors,74500.0,106900.0,0.0,STEM
151,Informatics,Bachelors,70300.0,106800.0,0.42,OTHER FIELDS
152,Computer Management Information Systems (CMIS),Bachelors,55700.0,106600.0,0.47,OTHER FIELDS
153,Information Systems (IS),Bachelors,63900.0,106600.0,0.44,OTHER FIELDS
154,Agricultural Economics,Bachelors,55600.0,106300.0,0.58,OTHER FIELDS
155,Data Processing,Bachelors,65600.0,106200.0,0.45,OTHER FIELDS
156,European Studies,Bachelors,47500.0,106100.0,0.46,OTHER FIELDS
157,Biosystems Engineering,Bachelors,64700.0,106000.0,0.74,STEM
158,Nuclear Engineering Technology (NET),Bachelors,83500.0,106000.0,0.62,STEM
159,Economics & Political Science,Bachelors,57100.0,105700.0,0.47,OTHER FIELDS
160,Global & International Studies,Bachelors,50000.0,105700.0,0.46,OTHER FIELDS
161,Organic Chemistry,Bachelors,44500.0,105600.0,0.0,OTHER FIELDS
162,Industrial Hygiene,Bachelors,58600.0,105500.0,0.55,OTHER FIELDS
163,Safety Science,Bachelors,62400.0,105500.0,0.0,OTHER FIELDS
164,Commerce,Bachelors,66800.0,105400.0,0.4,OTHER FIELDS
165,Rhetoric,Bachelors,51600.0,105400.0,0.44,OTHER FIELDS
166,Business Computer Information Systems (BCIS),Bachelors,64000.0,105300.0,0.4,BUSINESS
167,Finance,Bachelors,60200.0,105200.0,0.42,OTHER FIELDS
168,Plastics Engineering Technology,Bachelors,66900.0,105100.0,0.28,STEM
169,Molecular Biology,Bachelors,54100.0,105000.0,0.67,OTHER FIELDS
170,Environmental Engineering,Bachelors,62600.0,104800.0,0.62,STEM
171,International Management,Bachelors,54100.0,104800.0,0.51,OTHER FIELDS
172,Computer Information Systems,Bachelors,59400.0,104700.0,0.42,OTHER FIELDS
173,Corporate Finance,Bachelors,63600.0,104300.0,0.43,OTHER FIELDS
174,Genetics,Bachelors,52200.0,104100.0,0.72,OTHER FIELDS
175,International Business,Bachelors,55300.0,104100.0,0.39,BUSINESS
176,Agricultural Engineering (AE),Bachelors,63100.0,104000.0,0.63,STEM
177,Consumer Economics,Bachelors,53700.0,103800.0,0.4,OTHER FIELDS
178,Finance & Marketing,Bachelors,56800.0,103700.0,0.46,OTHER FIELDS
179,Computer Information Systems (CIS),Bachelors,60500.0,103500.0,0.47,OTHER FIELDS
180,Business Finance,Bachelors,57200.0,103300.0,0.42,BUSINESS
181,Psychobiology,Bachelors,49600.0,103100.0,0.65,OTHER FIELDS
182,Strategic Management,Bachelors,66200.0,103100.0,0.47,OTHER FIELDS
183,Construction Trades,Bachelors,61900.0,103100.0,0.48,OTHER FIELDS
184,Operations Management (OM),Bachelors,61500.0,103000.0,0.45,OTHER FIELDS
185,Entrepreneurship & Leadership,Bachelors,57100.0,102900.0,0.43,OTHER FIELDS
186,Electrical Engineering Technology (EET),Bachelors,66300.0,102800.0,0.47,STEM
187,Computer Science & Information Technology,Bachelors,66000.0,102700.0,0.5,STEM
188,Food Marketing,Bachelors,56300.0,102700.0,0.24,OTHER FIELDS
189,International Marketing,Bachelors,59000.0,102600.0,0.22,OTHER FIELDS
190,Network Engineering,Bachelors,60700.0,102600.0,0.55,STEM
191,Building Construction Management,Bachelors,61300.0,102400.0,0.63,OTHER FIELDS
192,Engineering Technology (ET),Bachelors,58400.0,102300.0,0.47,STEM
193,International Relations,Bachelors,52800.0,102200.0,0.49,OTHER FIELDS
194,Management & Finance,Bachelors,56800.0,102200.0,0.59,OTHER FIELDS
195,Information Security,Bachelors,66400.0,102200.0,0.48,OTHER FIELDS
196,Business Operations,Bachelors,63500.0,102100.0,0.0,BUSINESS
197,Industrial Management,Bachelors,57800.0,102000.0,0.53,OTHER FIELDS
198,Architectural Engineering,Bachelors,65000.0,101900.0,0.58,STEM
199,Hotel Administration,Bachelors,64900.0,101900.0,0.35,OTHER FIELDS
200,Manufacturing,Bachelors,57600.0,101500.0,0.48,OTHER FIELDS
201,Agricultural Economics & Business,Bachelors,54900.0,101400.0,0.56,BUSINESS
202,Web Development,Bachelors,56400.0,101300.0,0.46,OTHER FIELDS
203,Aviation,Bachelors,54000.0,101200.0,0.48,OTHER FIELDS
204,Telecommunications Management,Bachelors,55000.0,101200.0,0.42,OTHER FIELDS
205,Property Management,Bachelors,55200.0,101000.0,0.47,OTHER FIELDS
206,Comparative Literature,Bachelors,48100.0,100900.0,0.46,OTHER FIELDS
207,Construction Science & Management,Bachelors,64700.0,100800.0,0.71,OTHER FIELDS
208,Biotechnology,Bachelors,53100.0,100700.0,0.59,OTHER FIELDS
209,Industrial & Labor Relations,Bachelors,69800.0,100600.0,0.44,OTHER FIELDS
210,Real Estate,Bachelors,59900.0,100600.0,0.36,OTHER FIELDS
211,Mechanical Engineering Technology (MET),Bachelors,64200.0,100400.0,0.48,STEM
212,Labor Relations,Bachelors,53000.0,100300.0,0.41,OTHER FIELDS
213,Electronics,Bachelors,57500.0,100200.0,0.63,OTHER FIELDS
214,Biochemistry (BCH),Bachelors,50400.0,99900.0,0.62,OTHER FIELDS
215,Politics,Bachelors,53000.0,99900.0,0.51,OTHER FIELDS
216,Accounting & Auditing,Bachelors,57800.0,99800.0,0.45,BUSINESS
217,Chinese Language,Bachelors,54200.0,99600.0,0.43,OTHER FIELDS
218,Information Science (IS),Bachelors,66300.0,99500.0,0.36,OTHER FIELDS
219,East Asian Studies,Bachelors,49800.0,99400.0,0.42,OTHER FIELDS
220,Accounting & Finance,Bachelors,59200.0,99300.0,0.45,BUSINESS
221,Network Security,Bachelors,62300.0,99300.0,0.5,OTHER FIELDS
222,Information Technology (IT),Bachelors,59100.0,99200.0,0.46,OTHER FIELDS
223,Aviation Management,Bachelors,50900.0,99100.0,0.58,OTHER FIELDS
224,Occupational Health and Safety,Bachelors,59900.0,99100.0,0.69,OTHER FIELDS
225,Agribusiness,Bachelors,50700.0,98900.0,0.53,BUSINESS
226,Business & Marketing,Bachelors,51000.0,98900.0,0.45,BUSINESS
227,Computer Engineering Technology (CET),Bachelors,63000.0,98900.0,0.47,STEM
228,Computer Security,Bachelors,68100.0,98700.0,0.43,OTHER FIELDS
229,Operations & Supply Chain Management,Bachelors,61300.0,98600.0,0.45,OTHER FIELDS
230,Entomology,Bachelors,45900.0,98500.0,0.0,OTHER FIELDS
231,Music Production & Engineering,Bachelors,43100.0,98400.0,0.43,STEM
232,Industrial Engineering Technology,Bachelors,67200.0,98400.0,0.53,STEM
233,Logistics & Supply Chain Management,Bachelors,59000.0,98300.0,0.47,OTHER FIELDS
234,Supply Chain Management,Bachelors,61700.0,98300.0,0.41,OTHER FIELDS
235,Accounts,Bachelors,59800.0,98300.0,0.44,OTHER FIELDS
236,Economics & Management,Bachelors,54400.0,98200.0,0.0,OTHER FIELDS
237,Environmental Policy Analysis & Planning,Bachelors,51000.0,98200.0,0.65,OTHER FIELDS
238,Physical Therapy,Bachelors,55500.0,98200.0,0.88,OTHER FIELDS
239,European History,Bachelors,52300.0,98000.0,0.47,OTHER FIELDS
240,Robotics & Automation,Bachelors,66100.0,98000.0,0.63,OTHER FIELDS
241,Geological Engineering,Bachelors,61700.0,97900.0,0.54,STEM
242,Manufacturing Technology,Bachelors,59900.0,97900.0,0.46,OTHER FIELDS
243,Chemistry,Bachelors,51600.0,97500.0,0.55,OTHER FIELDS
244,Business Logistics & Transportation,Bachelors,56400.0,97400.0,0.44,BUSINESS
245,Food Science & Technology,Bachelors,53100.0,97300.0,0.49,OTHER FIELDS
246,City & Regional Planning,Bachelors,51800.0,97200.0,0.7,OTHER FIELDS
247,Civil Engineering Technology (CET),Bachelors,58300.0,97200.0,0.6,STEM
248,Electronics Engineering Technology (EET),Bachelors,64300.0,97100.0,0.5,STEM
249,English & Psychology,Bachelors,42600.0,97100.0,0.0,OTHER FIELDS
250,Finance & Banking,Bachelors,55300.0,97100.0,0.47,OTHER FIELDS
251,Mechanical Design,Bachelors,60900.0,97100.0,0.45,OTHER FIELDS
252,Applied Technology,Bachelors,55500.0,97000.0,0.62,OTHER FIELDS
253,Marketing & Management,Bachelors,50000.0,96900.0,0.45,OTHER FIELDS
254,Technical & Scientific Communication,Bachelors,50700.0,96800.0,0.37,OTHER FIELDS
255,Financial Planning,Bachelors,54000.0,96600.0,0.63,OTHER FIELDS
256,Organizational Behavior,Bachelors,57000.0,96600.0,0.51,OTHER FIELDS
257,Marketing,Bachelors,51700.0,96600.0,0.4,OTHER FIELDS
258,Dairy Science,Bachelors,51200.0,96200.0,0.68,OTHER FIELDS
259,Project Management,Bachelors,56800.0,96200.0,0.58,OTHER FIELDS
260,Government & International Politics (GVIP),Bachelors,51300.0,96100.0,0.49,OTHER FIELDS
261,Latin American Studies,Bachelors,46700.0,96100.0,0.62,OTHER FIELDS
262,Industrial Design (ID),Bachelors,55100.0,95900.0,0.41,OTHER FIELDS
263,Web Design & Development,Bachelors,53100.0,95900.0,0.44,OTHER FIELDS
264,Computing & Information Systems (CIS),Bachelors,58100.0,95800.0,0.4,OTHER FIELDS
265,Electromechanical Engineering,Bachelors,70500.0,95800.0,0.55,STEM
266,Industrial Technology (IT),Bachelors,62200.0,95800.0,0.5,OTHER FIELDS
267,Information Technology (IT) & Systems,Bachelors,61100.0,95800.0,0.47,OTHER FIELDS
268,Biopsychology,Bachelors,53300.0,95700.0,0.74,OTHER FIELDS
269,Government & Politics,Bachelors,52400.0,95700.0,0.51,OTHER FIELDS
270,Microbiology & Immunology,Bachelors,54900.0,95400.0,0.68,OTHER FIELDS
